OS_Name,OS_Family,FirstRelease,Status,Origin,Default_Desktop,BasedOn
MX,Linux,2017,Active,USA,XFCE,Debian
Manjaro,Linux,2013,Active,Austria,XFCE,Arch
Mint,Linux,2006,Active,Ireland,Cinnamon,Ubuntu
Debian,Linux,1996,Active,USA,GNOME,None
Ubuntu,Linux,2004,Active,UK,GNOME,Debian
ElementaryOS,Linux,2011,Active,USA,Pantheon,Ubuntu
Solus,Linux,2016,Active,Ireland,Budgie,None
ZorinOS,Linux,2009,Active,Ireland,GNOME,Ubuntu
Fedora,Linux,2003,Active,USA,GNOME,RedHat
Deepin,Linux,2004,Active,China,DDE,Debian
KDENeon,Linux,2017,Active,UK,KDE,Ubuntu
AntiX,Linux,2010,Active,Greece,Fluxbox,Debian
PopOS,Linux,2017,Active,USA,GNOME,Ubuntu
CentOS,Linux,2004,Active,USA,GNOME,RedHat
Arco,Linux,2018,Active,Belgium,Awesome,Arch
PCLinuxOS,Linux,2005,Active,USA,KDE,None
Arch,Linux,2002,Active,Canada,XFCE,None
openSUSE,Linux,1998,Active,Germany,Cinnamon,None
Kali,Linux,2004,Active,Switzerland,GNOME,Debian
Puppy,Linux,2006,Active,Australia,JWM,None
FreeBSD,BSD,1998,Active,USA,AfterStep,None
PeppermintOS,Linux,2011,Active,UK,LXDE,Lubuntu
Sparky,Linux,2012,Active,Poland,Budgie,Debian
Lite,Linux,2014,Active,NewZealand,XFCE,Ubuntu
EasyOS,Linux,2019,Active,Australia,JWM,None
UbuntuKylin,Linux,2013,Active,China,UKUI,Ubuntu
Lubuntu,Linux,2010,Active,France,LXDE,Ubuntu
ReactOS,Other,2014,Active,Russia,ReactOS_Explorer,None
TAILS,Linux,2010,Active,Ireland,GNOME,Debian
EndeavourOS,Linux,2019,Active,Netherlands,XFCE,Arch
Slackware,Linux,1994,Active,USA,KDE,None
Android,Linux,2008,Active,USA,Android,None
Q4OS,Linux,2015,Active,Germany,KDE,Debian
Archman,Linux,2018,Active,Turkey,Budgie,Arch
Trident,Linux,2019,Active,USA,Lumina,Void
Xubuntu,Linux,2006,Active,UK,XFCE,Ubuntu
Mageia,Linux,2011,Active,France,Cinnamon,Fedora
Kubuntu,Linux,2005,Active,UK,KDE,Ubuntu
Parrot,Linux,2016,Active,Italy,KDE,Debian
Void,Linux,2015,Active,Spain,Cinnamon,None
Alpine,Linux,2010,Active,Norway,XFCE,None
Devuan,Linux,2017,Active,USA,XFCE,Debian
UbuntuMATE,Linux,2015,Active,UK,MATE,Ubuntu
OpenMandriva,Linux,2013,Active,France,KDE,None
SmartOS,Solaris,2017,Active,USA,CLI,Solaris
BlueStar,Linux,2016,Active,USA,KDE,Arch
PureOS,Linux,2009,Active,France,GNOME,Debian
Gentoo,Linux,2002,Active,USA,AfterStep,None
FerenOS,Linux,2016,Active,USA,Cinnamon,Mint
EndlessOS,Linux,2019,Active,USA,GNOME,Debian
GhostBSD,BSD,2010,Active,Canada,MATE,FreeBSD
KNOPPIX,Linux,2003,Active,Germany,GNOME,Debian
KaOS,Linux,2014,Active,USA,KDE,None
Elive,Linux,2005,Active,Belgium,Enlightenment,Debian
4M,Linux,2015,Active,Poland,JWM,None
ClearOS,Linux,2001,Active,NewZealand,GNOME,RedHat
Bodhi,Linux,2012,Active,USA,Enlightenment,Ubuntu
Voyager,Linux,2012,Active,France,GNOME,Xubuntu
NomadBSD,BSD,2018,Active,Germany,KDE,FreeBSD
Clear,Linux,2017,Active,USA,GNOME,None
QubesOS,Linux,2012,Active,Poland,XFCE,Fedora
NixOS,Linux,2014,Active,Netherlands,Awesome,None
UltimateEdition,Linux,2008,Active,USA,Awesome,Ubuntu
LXLE,Linux,2014,Active,USA,LXDE,Lubuntu
Netrunner,Linux,2010,Active,Germany,KDE,Debian
ALT,Linux,2001,Active,Russia,AfterStep,Mandrake
Obarun,Linux,2018,Active,Switzerland,JWM,Arch
TinyCore,Linux,2009,Active,USA,DWM,DamnSmall
UbuntuBudgie,Linux,2017,Active,UK,Budgie,Ubuntu
BlackArch,Linux,2014,Active,USA,Awesome,Arch
ArchBang,Linux,2010,Active,Canada,i3,Arch
TrueOS,BSD,2006,Active,USA,XFCE,FreeBSD
DragonFlyBSD,BSD,2008,Active,USA,Awesome,FreeBSD
ExTiX,Linux,2008,Active,Sweden,DDE,Ubuntu
Nitrux,Linux,2018,Active,Mexico,KDE,Ubuntu
Emmabuntus,Linux,2014,Active,France,XFCE,Ubuntu
RoboLinux,Linux,2016,Active,USA,Cinnamon,Ubuntu
OpenBSD,BSD,1999,Active,Canada,AfterStep,None
UbuntuStudio,Linux,2007,Active,USA,XFCE,Ubuntu
Raspbian,Linux,2015,Active,UK,LXDE,Debian
Artix,Linux,2017,Active,USA,Cinnamon,Arch
AUSTRUMI,Linux,2009,Active,Latvia,FVWM,Slackware
SteamOS,Linux,2017,Active,USA,GNOME,Debian
LibreELEC,Linux,2017,Active,USA,Kodi,OpenELEC
Oracle,Linux,2009,Active,USA,GNOME,RedHat
Trisquel,Linux,2007,Active,Spain,GNOME,Ubuntu
BunsenLabs,Linux,2016,Active,USA,Openbox,Debian
Septor,Linux,2020,Active,Serbia,KDE,Debian
Clonezilla,Linux,2008,Active,Taiwan,None,Debian
Haiku,Other,2018,Active,Germany,Haiku,None
Arya,Linux,2015,Active,India,GNOME,LFS
Sabayon,Linux,2009,Active,Italy,Fluxbox,Gentoo
Simplicity,Linux,2013,Active,UK,Cinnamon,Devuan
ROSA,Linux,2011,Active,Russia,GNOME,Mandriva
ArchLabs,Linux,2017,Active,NewZealand,Openbox,Arch
Slax,Linux,2003,Active,Czech,Fluxbox,Debian
AV,Linux,2010,Active,Canada,XFCE,Debian
Lakka,Linux,2016,Active,France,RetroArch,LibreELEC
Kodachi,Linux,2017,Active,Oman,XFCE,Xubuntu
